Booking made,Registration Type,Attendance,Faculty,Student or staff category,How would you describe your experience with research data publishing?
14/09/2023 19:19,Online,-,"Art, Design & Architecture",Postgraduate,I’m new to this - tell me everything!
24/09/2023 21:41,Online,-,"Art, Design & Architecture",Postgraduate,I’m new to this - tell me everything!
21/09/2023 18:40,Online,-,Business,Postgraduate,I’m new to this - tell me everything!
25/09/2023 12:23,Online,-,Library,Professional staff,I’m comfortable with the concepts but have yet to publish a dataset myself.
22/09/2023 12:55,Online,-,Engineering,Academic staff,I’m new to this - tell me everything!
22/09/2023 13:07,Online,-,Engineering,Academic staff,I’m new to this - tell me everything!
22/09/2023 13:11,Online,-,Engineering,Academic staff,I’m new to this - tell me everything!
22/09/2023 13:22,Online,-,Engineering,Academic staff,I’m new to this - tell me everything!
22/09/2023 13:49,Online,-,Engineering,Academic staff,I’m new to this - tell me everything!
25/09/2023 13:25,Online,-,Engineering,Academic staff,I’ve published datasets before but want to learn more about research data publishing at UNSW.
11/09/2023 16:01,Online,-,Engineering,Postgraduate,I’ve published datasets before but want to learn more about research data publishing at UNSW.
18/09/2023 19:33,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
22/09/2023 13:04,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
22/09/2023 13:13,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
22/09/2023 13:19,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
22/09/2023 14:10,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
22/09/2023 14:16,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
22/09/2023 15:22,Online,-,Engineering,Postgraduate,I’ve published datasets before but want to learn more about research data publishing at UNSW.
22/09/2023 16:00,Online,-,Engineering,Postgraduate,I’m comfortable with the concepts but have yet to publish a dataset myself.
22/09/2023 16:02,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
25/09/2023 12:56,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
25/09/2023 13:40,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
25/09/2023 15:28,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
25/09/2023 15:53,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
25/09/2023 16:15,Online,-,Engineering,Postgraduate,I’m new to this - tell me everything!
22/09/2023 15:24,Online,-,Engineering,Professional staff,I’m comfortable with the concepts but have yet to publish a dataset myself.
22/09/2023 11:35,Online,-,Medicine & Health,Academic staff,I’m comfortable with the concepts but have yet to publish a dataset myself.
22/09/2023 13:40,Online,-,Medicine & Health,Academic staff,I’m new to this - tell me everything!
22/09/2023 15:35,Online,-,Medicine & Health,Academic staff,I’ve published datasets before but want to learn more about research data publishing at UNSW.
22/09/2023 16:38,Online,-,Medicine & Health,Academic staff,I’m new to this - tell me everything!
22/09/2023 18:33,Online,-,Medicine & Health,Academic staff,I’m new to this - tell me everything!
25/09/2023 8:55,Online,-,Medicine & Health,Academic staff,I’m new to this - tell me everything!
22/09/2023 12:00,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
22/09/2023 14:38,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
22/09/2023 15:33,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
22/09/2023 15:50,Online,-,Medicine & Health,Postgraduate,I’ve published datasets before but want to learn more about research data publishing at UNSW.
22/09/2023 16:11,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
22/09/2023 16:24,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
22/09/2023 16:49,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
22/09/2023 20:16,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
23/09/2023 6:27,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
24/09/2023 18:23,Online,-,Medicine & Health,Postgraduate,I’m comfortable with the concepts but have yet to publish a dataset myself.
24/09/2023 19:01,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
25/09/2023 9:40,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
25/09/2023 10:25,Online,-,Medicine & Health,Postgraduate,I’m comfortable with the concepts but have yet to publish a dataset myself.
25/09/2023 11:11,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
25/09/2023 13:32,Online,-,Medicine & Health,Postgraduate,I’m new to this - tell me everything!
22/09/2023 12:10,Online,-,Medicine & Health,Professional staff,I’m comfortable with the concepts but have yet to publish a dataset myself.
22/09/2023 15:43,Online,-,Medicine & Health,Professional staff,I’m new to this - tell me everything!
25/09/2023 9:18,Online,-,Science,Postgraduate,I’m new to this - tell me everything!
